통계년월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202101,서울특별시,종로구,지적,심한 장애,399
202101,서울특별시,종로구,뇌병변,심한 장애,343
202101,서울특별시,종로구,자폐성,심한 장애,101
202101,서울특별시,종로구,정신,심한 장애,259
202101,서울특별시,종로구,신장,심한 장애,193
202101,서울특별시,종로구,심장,심한 장애,7
202101,서울특별시,종로구,호흡기,심한 장애,30
202101,서울특별시,종로구,간,심한 장애,4
202101,서울특별시,종로구,시각,심한 장애,190
202101,서울특별시,종로구,안면,심한 장애,3
202101,서울특별시,종로구,장루.요루,심한 장애,5
202101,서울특별시,종로구,뇌전증,심한 장애,4
202101,서울특별시,종로구,지체,심하지 않은 장애,2119
202101,서울특별시,종로구,시각,심하지 않은 장애,531
202101,서울특별시,종로구,청각,심하지 않은 장애,708
202101,서울특별시,종로구,언어,심하지 않은 장애,24
202101,서울특별시,종로구,뇌병변,심하지 않은 장애,239
202101,서울특별시,종로구,신장,심하지 않은 장애,63
202101,서울특별시,종로구,심장,심하지 않은 장애,2
202101,서울특별시,종로구,간,심하지 않은 장애,42
202101,서울특별시,종로구,청각,심한 장애,223
202101,서울특별시,종로구,안면,심하지 않은 장애,4
202101,서울특별시,종로구,장루.요루,심하지 않은 장애,26
202101,서울특별시,종로구,뇌전증,심하지 않은 장애,7
202101,서울특별시,종로구,언어,심한 장애,20
202101,서울특별시,종로구,지체,심한 장애,451
202101,서울특별시,중구,지적,심한 장애,295
202101,서울특별시,중구,뇌병변,심한 장애,306
202101,서울특별시,중구,자폐성,심한 장애,76
202101,서울특별시,중구,정신,심한 장애,213
202101,서울특별시,중구,신장,심한 장애,167
202101,서울특별시,중구,심장,심한 장애,13
202101,서울특별시,중구,호흡기,심한 장애,31
202101,서울특별시,중구,간,심한 장애,2
202101,서울특별시,중구,지체,심한 장애,483
202101,서울특별시,중구,안면,심한 장애,4
202101,서울특별시,중구,장루.요루,심한 장애,5
202101,서울특별시,중구,시각,심한 장애,192
202101,서울특별시,중구,뇌전증,심한 장애,4
202101,서울특별시,중구,지체,심하지 않은 장애,2082
202101,서울특별시,중구,시각,심하지 않은 장애,534
202101,서울특별시,중구,청각,심하지 않은 장애,650
202101,서울특별시,중구,언어,심하지 않은 장애,13
202101,서울특별시,중구,뇌병변,심하지 않은 장애,257
202101,서울특별시,중구,신장,심하지 않은 장애,58
202101,서울특별시,중구,심장,심하지 않은 장애,1
202101,서울특별시,중구,호흡기,심하지 않은 장애,1
202101,서울특별시,중구,청각,심한 장애,191
202101,서울특별시,중구,간,심하지 않은 장애,37
202101,서울특별시,중구,안면,심하지 않은 장애,1
202101,서울특별시,중구,장루.요루,심하지 않은 장애,36
202101,서울특별시,중구,뇌전증,심하지 않은 장애,18
202101,서울특별시,중구,언어,심한 장애,21
202101,서울특별시,용산구,지적,심한 장애,535
202101,서울특별시,용산구,뇌병변,심한 장애,445
202101,서울특별시,용산구,자폐성,심한 장애,121
202101,서울특별시,용산구,정신,심한 장애,290
