년(Annual),구분,LEVEL1,값,증감,증감율,구성비,누계,누계구성비
2014,시내대수,계,32552,32552,32552,0,0,0
2014,시내대수,서울,7534,7534,7534,0,0,0
2014,시내대수,부산,2511,2511,2511,0,0,0
2014,시내대수,대구,1658,1658,1658,0,0,0
2014,시내대수,인천,2312,2312,2312,0,0,0
2014,시내대수,광주,930,930,930,0,0,0
2014,시내대수,대전,965,965,965,0,0,0
2014,시내대수,울산,670,670,670,0,0,0
2014,시내대수,세종,,,,0,0,0
2014,시내대수,경기,9793,9793,9793,0,0,0
2014,시내대수,강원,567,567,567,0,0,0
2014,시내대수,충북,540,540,540,0,0,0
2014,시내대수,충남,758,758,758,0,0,0
2014,시내대수,전북,850,850,850,0,0,0
2014,시내대수,전남,680,680,680,0,0,0
2014,시내대수,경북,1088,1088,1088,0,0,0
2014,시내대수,경남,1529,1529,1529,0,0,0
2014,시내대수,제주,167,167,167,0,0,0
2014,저상대수,계,6026,6026,6026,0,0,0
2014,저상대수,서울,2445,2445,2445,0,0,0
2014,저상대수,부산,399,399,399,0,0,0
2014,저상대수,대구,283,283,283,0,0,0
2014,저상대수,인천,288,288,288,0,0,0
2014,저상대수,광주,126,126,126,0,0,0
2014,저상대수,대전,203,203,203,0,0,0
2014,저상대수,울산,90,90,90,0,0,0
2014,저상대수,세종,,,,0,0,0
2014,저상대수,경기,1236,1236,1236,0,0,0
2014,저상대수,강원,170,170,170,0,0,0
2014,저상대수,충북,109,109,109,0,0,0
2014,저상대수,충남,58,58,58,0,0,0
2014,저상대수,전북,106,106,106,0,0,0
2014,저상대수,전남,59,59,59,0,0,0
2014,저상대수,경북,60,60,60,0,0,0
2014,저상대수,경남,384,384,384,0,0,0
2014,저상대수,제주,10,10,10,0,0,0
2014,도입률,계,18.5,18.5,18.5,0,0,0
2014,도입률,서울,32.5,32.5,32.5,0,0,0
2014,도입률,부산,15.9,15.9,15.9,0,0,0
2014,도입률,대구,17.1,17.1,17.1,0,0,0
2014,도입률,인천,12.5,12.5,12.5,0,0,0
2014,도입률,광주,13.5,13.5,13.5,0,0,0
2014,도입률,대전,21,21,21,0,0,0
2014,도입률,울산,13.4,13.4,13.4,0,0,0
2014,도입률,세종,,,,0,0,0
2014,도입률,경기,12.6,12.6,12.6,0,0,0
2014,도입률,강원,30,30,30,0,0,0
2014,도입률,충북,20.2,20.2,20.2,0,0,0
2014,도입률,충남,7.7,7.7,7.7,0,0,0
2014,도입률,전북,12.5,12.5,12.5,0,0,0
2014,도입률,전남,8.7,8.7,8.7,0,0,0
2014,도입률,경북,5.5,5.5,5.5,0,0,0
2014,도입률,경남,25.1,25.1,25.1,0,0,0
2014,도입률,제주,6,6,6,0,0,0
2015,시내대수,계,32552,32552,32552,0,0,0
2015,시내대수,서울,7534,7534,7534,0,0,0
2015,시내대수,부산,2511,2511,2511,0,0,0
2015,시내대수,대구,1658,1658,1658,0,0,0
2015,시내대수,인천,2312,2312,2312,0,0,0
2015,시내대수,광주,930,930,930,0,0,0
2015,시내대수,대전,965,965,965,0,0,0
2015,시내대수,울산,670,670,670,0,0,0
2015,시내대수,세종,,,,0,0,0
2015,시내대수,경기,9793,9793,9793,0,0,0
2015,시내대수,강원,567,567,567,0,0,0
2015,시내대수,충북,540,540,540,0,0,0
2015,시내대수,충남,758,758,758,0,0,0
2015,시내대수,전북,850,850,850,0,0,0
2015,시내대수,전남,680,680,680,0,0,0
2015,시내대수,경북,1088,1088,1088,0,0,0
2015,시내대수,경남,1529,1529,1529,0,0,0
2015,시내대수,제주,167,167,167,0,0,0
2015,저상대수,계,6751,6751,6751,0,0,0
2015,저상대수,서울,2653,2653,2653,0,0,0
2015,저상대수,부산,464,464,464,0,0,0
2015,저상대수,대구,362,362,362,0,0,0
2015,저상대수,인천,326,326,326,0,0,0
2015,저상대수,광주,166,166,166,0,0,0
2015,저상대수,대전,241,241,241,0,0,0
2015,저상대수,울산,100,100,100,0,0,0
2015,저상대수,세종,,,,0,0,0
2015,저상대수,경기,1347,1347,1347,0,0,0
2015,저상대수,강원,184,184,184,0,0,0
2015,저상대수,충북,121,121,121,0,0,0
2015,저상대수,충남,71,71,71,0,0,0
2015,저상대수,전북,149,149,149,0,0,0
2015,저상대수,전남,74,74,74,0,0,0
2015,저상대수,경북,97,97,97,0,0,0
2015,저상대수,경남,386,386,386,0,0,0
2015,저상대수,제주,10,10,10,0,0,0
2015,도입률,계,20.7,20.7,20.7,0,0,0
2015,도입률,서울,35.2,35.2,35.2,0,0,0
2015,도입률,부산,18.5,18.5,18.5,0,0,0
2015,도입률,대구,21.8,21.8,21.8,0,0,0
2015,도입률,인천,14.1,14.1,14.1,0,0,0
2015,도입률,광주,17.8,17.8,17.8,0,0,0
2015,도입률,대전,25,25,25,0,0,0
2015,도입률,울산,14.9,14.9,14.9,0,0,0
2015,도입률,세종,,,,0,0,0
2015,도입률,경기,13.8,13.8,13.8,0,0,0
2015,도입률,강원,32.5,32.5,32.5,0,0,0
2015,도입률,충북,22.4,22.4,22.4,0,0,0
2015,도입률,충남,9.4,9.4,9.4,0,0,0
2015,도입률,전북,17.4,17.4,17.4,0,0,0
2015,도입률,전남,10.9,10.9,10.9,0,0,0
2015,도입률,경북,8.9,8.9,8.9,0,0,0
2015,도입률,경남,25.2,25.2,25.2,0,0,0
2015,도입률,제주,6,6,6,0,0,0
2016,시내대수,계,33887,33887,33887,0,0,0
2016,시내대수,서울,7436,7436,7436,0,0,0
2016,시내대수,부산,2511,2511,2511,0,0,0
2016,시내대수,대구,1521,1521,1521,0,0,0
2016,시내대수,인천,2322,2322,2322,0,0,0
2016,시내대수,광주,998,998,998,0,0,0
2016,시내대수,대전,965,965,965,0,0,0
2016,시내대수,울산,729,729,729,0,0,0
2016,시내대수,세종,138,138,138,0,0,0
2016,시내대수,경기,10590,10590,10590,0,0,0
2016,시내대수,강원,569,569,569,0,0,0
2016,시내대수,충북,578,578,578,0,0,0
2016,시내대수,충남,944,944,944,0,0,0
2016,시내대수,전북,829,829,829,0,0,0
2016,시내대수,전남,713,713,713,0,0,0
2016,시내대수,경북,1197,1197,1197,0,0,0
2016,시내대수,경남,1653,1653,1653,0,0,0
2016,시내대수,제주,194,194,194,0,0,0
2016,저상대수,계,7572,7572,7572,0,0,0
2016,저상대수,서울,3005,3005,3005,0,0,0
2016,저상대수,부산,516,516,516,0,0,0
2016,저상대수,대구,451,451,451,0,0,0
2016,저상대수,인천,356,356,356,0,0,0
2016,저상대수,광주,212,212,212,0,0,0
2016,저상대수,대전,264,264,264,0,0,0
2016,저상대수,울산,107,107,107,0,0,0
2016,저상대수,세종,40,40,40,0,0,0
2016,저상대수,경기,1404,1404,1404,0,0,0
2016,저상대수,강원,195,195,195,0,0,0
2016,저상대수,충북,131,131,131,0,0,0
2016,저상대수,충남,85,85,85,0,0,0
2016,저상대수,전북,176,176,176,0,0,0
2016,저상대수,전남,89,89,89,0,0,0
2016,저상대수,경북,140,140,140,0,0,0
2016,저상대수,경남,391,391,391,0,0,0
2016,저상대수,제주,10,10,10,0,0,0
2016,도입률,계,22.3,22.3,22.3,0,0,0
2016,도입률,서울,40.4,40.4,40.4,0,0,0
2016,도입률,부산,20.5,20.5,20.5,0,0,0
2016,도입률,대구,29.7,29.7,29.7,0,0,0
2016,도입률,인천,15.3,15.3,15.3,0,0,0
2016,도입률,광주,21.2,21.2,21.2,0,0,0
2016,도입률,대전,27.4,27.4,27.4,0,0,0
2016,도입률,울산,14.7,14.7,14.7,0,0,0
2016,도입률,세종,29,29,29,0,0,0
2016,도입률,경기,13.3,13.3,13.3,0,0,0
2016,도입률,강원,34.3,34.3,34.3,0,0,0
2016,도입률,충북,22.7,22.7,22.7,0,0,0
2016,도입률,충남,9,9,9,0,0,0
2016,도입률,전북,21.2,21.2,21.2,0,0,0
2016,도입률,전남,12.5,12.5,12.5,0,0,0
2016,도입률,경북,11.7,11.7,11.7,0,0,0
2016,도입률,경남,23.6,23.6,23.6,0,0,0
2016,도입률,제주,5.2,5.2,5.2,0,0,0
2017,시내대수,계,33796,33796,33796,0,0,0
2017,시내대수,서울,7134,7134,7134,0,0,0
2017,시내대수,부산,2517,2517,2517,0,0,0
2017,시내대수,대구,1521,1521,1521,0,0,0
2017,시내대수,인천,2324,2324,2324,0,0,0
2017,시내대수,광주,1041,1041,1041,0,0,0
2017,시내대수,대전,1016,1016,1016,0,0,0
2017,시내대수,울산,741,741,741,0,0,0
