시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경상남도,양산시,양산대로,,경상남도 양산시 하북면 용연리 1089-8,양산신-1001,1,N,N,35.431776,129.067611,6,8,25,Y,N,N,25,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 용연리 1012-4,양산신-1002,1,N,N,35.433768,129.068334,4,8,16,Y,Y,N,25,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 용연리 1145-3,양산신-1005,1,N,N,35.442733,129.072161,5,8,17,Y,N,N,23,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 백록리 1040-1,양산신-1007,1,N,N,35.455274,129.076969,6,8,21,Y,N,N,22,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 백록리 1009-3,양산신-1008,1,N,N,35.460196,129.079229,6,8,27,Y,N,N,33,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 백록리 718-4,양산신-1010,1,N,N,35.470157,129.084607,5,8,17,Y,Y,N,23,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 백록리 654-56,양산신-1011,1,N,N,35.472799,129.085677,5,8,16,Y,N,N,22,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 초산리 322-149,양산신-1014,1,N,N,35.483998,129.086414,4,8,15,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 초산리 73-6,양산신-1015,1,N,N,35.487848,129.085817,5,8,17,Y,N,N,22,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 808,양산신-1015,1,N,N,35.487991,129.086477,5,8,18,Y,N,N,24,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 725-2,양산신-1016,1,N,N,35.488709,129.088091,5,8,23,Y,N,N,22,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 725-2,양산신-1016,1,N,N,35.488709,129.088091,5,8,21,Y,N,N,22,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 725-2,양산신-1016,1,N,N,35.488709,129.088091,3,8,11,Y,N,N,20,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 725-2,양산신-1016,1,N,N,35.488709,129.088091,3,8,10,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 723-3,양산신-1017,1,N,N,35.488347,129.088231,2,4,9,Y,N,N,24,,Y,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 723-3,양산신-1017,1,N,N,35.488347,129.088231,1,4,14,Y,N,N,20,,Y,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 723-3,양산신-1017,1,N,N,35.488347,129.088231,1,4,10,Y,N,N,50,,N,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 86-9,양산신-1018,1,N,N,35.489381,129.089029,4,8,18,Y,N,N,25,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 166-38,양산신-1019,1,N,N,35.492162,129.089967,4,8,12,N,N,N,,,N,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 134-14,양산신-1020,1,N,N,35.493905,129.090495,5,8,17,Y,N,N,21,,N,Y,Y,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 134-14,양산신-1020,1,N,N,35.493905,129.090495,3,8,13,Y,N,N,20,,N,Y,Y,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 227-1,양산신-1021,1,N,N,35.496664,129.091204,5,8,15,Y,N,N,19,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 227-1,양산신-1021,1,N,N,35.496664,129.091204,2,4,17,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 493,양산신-1022,1,N,N,35.493763,129.083891,4,8,17,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 493,양산신-1022,1,N,N,35.493763,129.083891,2,4,12,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
